id;nazwa;kod;latitude;longitude
;;A1;51.755173;19.452615
;;A2;51.754659;19.452804
;;A3;51.754723;19.453567
;;A4;51.754565;19.454483
;;A5;51.754224;19.454832
;;A6;51.754126;19.453991
;;A7;51.754075;19.453388
;;A8;51.753372;19.452826
;;A9;51.753576;19.453293
;;A10;51.752780;19.453384
;;A11;51.753471;19.454259
;;A12;51.753032;19.454367
;;A13;51.752454;19.453754
;;A14;51.753085;19.455127
;;A15;51.752861;19.455174
;;A16;51.755072;19.451539
;;A17;51.755032;19.450629
;;A18;51.754779;19.451454
;;A19;51.753918;19.452018
;;A20;51.753326;19.452283
;;A21;51.752992;19.451678
;;A22;51.752647;19.452076
;;A23;51.752356;19.452637
;;A24;51.754418;19.450948
;;A25;51.754484;19.450155
;;A26;51.754091;19.450509
;;A27;51.753959;19.450892
;;A28;51.753603;19.450949
;;A29;51.752903;19.451147
;;A30;51.752591;19.451282
;;A31;51.753906;19.449744
;;A32;51.753514;19.449774
;;A33;51.752828;19.450104

;Rektorat;B1;51.748698;19.455259
;Dział Transferu Technologii;B2;51.748888;19.454598
;Dział Promocji;B3;51.748581;19.453089
;;B4;51.748014;19.455824
;;B5;51.747975;19.455325
;;B6;51.747746;19.453119
;;B7;51.747603;19.451334
;;B8;51.747610;19.450866
;Budynek trzech wydziałów, Lodex;B9;51.747201;19.453855
;;B10;51.747314;19.455343
;;B11;51.747351;19.456042
;;B12;51.747046;19.454992
;;B13;51.746890;19.454212
;;B14;51.746806;19.455016
;;B15;51.746518;19.455759
;;B16;51.746396;19.453069
;;B17;51.746014;19.454648
;;B18;51.746016;19.455615
;Centrum technologii Informatycznych;B19;51.747115;19.455844
;;B21;51.745621;19.455645
;Biblioteka Politechniki Łódzkiej;B22;51.745647;19.454789
;;B23;51.745064;19.453728
;;B24;51.745417;19.451589
;;B25;51.745401;19.451321
;Łódzkie Akademickie Centrum Sportowo-Dydaktyczne;B28;51.746504;19.451589
;;B29;51.744709;19.454087

;;C1;51.744762;19.448460
;;C2;51.744652;19.448997
;;C3;51.745108;19.450020
;Centrum Sportu Politechniki Łódzkiej;C4;51.745430;19.449201
;VI Dom Studenta;C5;51.745686;19.449875
;;C6;51.745783;19.449267
;;C7;51.745746;19.448743
;;C8;51.745652;19.448453
;VII Dom Studenta;C9;51.746109;19.450214
;;C10;51.746393;19.449706
;IV Dom Studenta;C11;51.746644;19.450191
;III Dom Studenta;C12;51.747623;19.450009
;II Dom Studenta;C13;51.748246;19.449869
;I Dom Studenta;C14;51.748694;19.449789
;;C15;51.749110;19.449432
;;C16;51.751444;19.447943
;;C17;51.744453;19.449244
;;C18;51.744973;19.449715
;;C19;51.748317;19.449448
